"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/DESCARGAS/hanging-shirt-by-camille-kleinman/source/Shirt_Dolman_Shirt_by_CG_Elves/Shirt_Dolman_39kpolys/Material1513820.Material1513820","0","8","8","1","26.317991","0","8"
"/Game/DESCARGAS/hanging-shirt-by-camille-kleinman/source/Shirt_Dolman_Shirt_by_CG_Elves/Shirt_Dolman_39kpolys/Material1513823.Material1513823","0","8","8","1","0.000000","0","8"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/3ce-face-blush-mono-pink/3CE61.3CE61","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/3ce-face-blush-mono-pink/sticker_sew1.sticker_sew1","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/bar-with-bottles/source/etiketks.etiketks","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/bar-with-bottles/source/glass.glass","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/bar-with-bottles/source/glassbilel.glassbilel","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/bar-with-bottles/source/kriwki.kriwki","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/bar-with-bottles/source/polka.polka","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/pile-of-clothes/source/tex_u1_v1.tex_u1_v1","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/wallet/notes_2_lambert.notes_2_lambert","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/wallet/notes_3_lambert.notes_3_lambert","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/wallet/notes_4_lambert.notes_4_lambert","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_infancia/wood-closet-doors-closed/source/Closet_Closed/standardSurface1.standardSurface1","0","3","3","1","1.811657","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/dior-handbag/Stitches_Mat.Stitches_Mat","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/cosmetic-serum-bottle/Material_002.Material_002","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_infancia/box-of-toys/source/aiToon3.aiToon3","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_infancia/box-of-toys/source/aiToon6.aiToon6","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_infancia/box-of-toys/source/aiToon7.aiToon7","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_infancia/box-of-toys/source/aiToonBase.aiToonBase","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_infancia/box-of-toys/source/aiToon4.aiToon4","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_infancia/box-of-toys/source/aiToonetch.aiToonetch","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/rita-floor-lamp-brass-and-marble/source/BRASS.BRASS","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/rita-floor-lamp-brass-and-marble/source/LAMP_SHADE.LAMP_SHADE","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/rita-floor-lamp-brass-and-marble/source/LIGHT_BULB.LIGHT_BULB","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/habitacion_encuentro/rita-floor-lamp-brass-and-marble/source/MARBLE.MARBLE","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/heart-jewelry/source/Mat_1.Mat_1","0","3","3","1","1.746109","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/heart-jewelry/source/Mat.Mat","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/woman-shoes-3d-design-exercise/6_-_Laminado_negro.6_-_Laminado_negro","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/woman-shoes-3d-design-exercise/black_ncl_1.black_ncl_1","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/woman-shoes-3d-design-exercise/gold_yellow.gold_yellow","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/woman-shoes-3d-design-exercise/padded_geo.padded_geo","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/woman-shoes-3d-design-exercise/scales_black_1.scales_black_1","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/woman-shoes-3d-design-exercise/scales_black.scales_black","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/woman-shoes-3d-design-exercise/Suela_Negro.Suela_Negro","0","3","3","1","0.000000","0","3"
"/Game/silla/ASIENTO.ASIENTO","0","3","3","1","0.000000","0","3"
"/Game/silla/PATAS_DE_SILLA.PATAS_DE_SILLA","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/cama/cama.cama","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/cama/2_alm.2_alm","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/ara?a_techo/body.body","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/wine-bottle/textures/lambert1.lambert1","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/wrapped-flower-bouquet/textures/Ribbons1.Ribbons1","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/wrapped-flower-bouquet/textures/Petals9.Petals9","0","3","3","1","0.000000","0","3"
"/Game/DESCARGAS/HABITACIONES/Habitaci?n_identidad/wrapped-flower-bouquet/textures/Petals8.Petals8","0","3","3","1","0.000000","0","3"
